iso2,network_id,network_name,mcc,mnc,cc,prefix,live_coverage,rates
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,97150,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971501,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971502,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971503,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971504,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971505,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971506,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971507,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971508,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971509,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,97154,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971543,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971544,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971545,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971547,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,97156,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971561,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971562,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971563,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971564,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971565,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971566,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971567,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971568,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971569,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971831,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971832,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971833,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971834,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971835,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971836,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971837,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971838,TRUE,0.000945
AE,971500,Emirates Telecom Corp-ETISALAT,424,02,971,971839,TRUE,0.000945
AE,971501,Emirates Integrated Telecoms PJSC (DU),424,03,971,97152,TRUE,0.000945
AE,971501,Emirates Integrated Telecoms PJSC (DU),424,03,971,97155,TRUE,0.000945
AE,971501,Emirates Integrated Telecoms PJSC (DU),424,03,971,97158,TRUE,0.000945
AG,1268503,APUA inet (Public Utilities Authority),344,30,1268,1268727,TRUE,0.001512
AG,1268503,APUA inet (Public Utilities Authority),344,30,1268,1268729,TRUE,0.001512
